,question,a,b,c,d,e,correct
11,"
 Виділене слово вжито в невластивому йому значенні в реченні
",Словник являється надійним джерелом інформації.,Камера схову розташована на першому поверсі.,Ялту вважають одним з найкращих курортів.,Директор банку перебуває за кордоном.,У санаторії є кілька басейнів з морською водою.,a
12,"
Спрощення у групах приголосних на місці пропуску позначається на письмі в усіх словах рядка 
","блис..нути, улес..ливий, очис..ний, реміс..ник","проїз..ний, хрус..нути, балас..ний, віс..ник","доблес..ний, якіс..ний, хрес..ний, випус..ний","безшелес..но, гіган..ський, виїз..ний, облас..ний","корис..ний, заздріс..но, хворос..няк, тріс..нути",a
13,"
Без апострофа треба писати всі слова в рядку
","верб..я, кур..йозний, тьм..яний","моркв..яний, розз..явити, цв..яшок","дзв..якнути, ін..єкція, різдв..яний","дво..ярусний, різьб..яр, Лук..янович","духм..яний, присв..ята, прим..ятий",b
14,"
Літеру и треба писати на місці обох пропусків у рядку
","Пр..дніпровська залізниця, пр..вабливі ціни","пр..зупинити виробництво, пр..чудовий зразок","пр..бічники реформ, пр..зирливе ставлення","виконати пр..погано, подарунковий пр..мірник","кадрове пр..значення, пр..звище секретаря",a
15,"
Подвоєне нн треба писати на місці пропуску в усіх словах рядка
","бездога..ий, страше..ий, студе..ий","свяще..ий, довгожда..ий, безіме..ий","невблага..ий, орли..ий, ешело..ий","незбагне..ий, моното..ий, безці..ий","леви..ий, електро..ий, благослове..ий",d
16,"
Закінчення -е (-є) у формі кличного відмінка мають усі іменники в рядку
","друг, Григорій, пісня, Київ","земля, Зоя, директор, подруга","художниця, козак, Степан, мрія","Надія, школяр, добродій, Віктор","хлопець, Іван, площа, товариш",c
17,"
Граматичну помилку допущено в рядку
",яскравіші декорації,краща інсценізація,найвиразніший монолог,якнайкраща постановка,щонайсучасне трактування,e
18,"
Правильно утворено форму 3-ї особи множини від інфінітива
",бігти - біжуть,свистати - свистають,хотіти - хотять,сідати - сидять,губити - гублять,e
19,"
Правильну відмінкову форму числівника сто вісімдесят сім наведено у рядку
",Р.в. ста вісімдесяти семи,Д.в. сто вісімдесяти семи,З.в. ста вісімдесят сім,О.в. ста вісімдесятьма сіма,М.в. (у) сто вісімдесяти семи,a
20,"
Вставне слово, що вказує на послідовність і зв'язок думок, ужито в реченні 
","Отже, сполучники поділяємо на сурядні й підрядні.","Кожна наукова теза, безперечно, вимагає доказів.","Такі експерименти, очевидно, необхідно продовжувати.","Зміст цього поняття, на мою думку, треба уточнити.","Розв'язати проблему допоміг би, мабуть, такий експеримент.",a
21,"
Двокрапку треба поставити в складному безсполучниковому реченні (розділові знаки пропущено)
",Здобули волю відшукали долю.,Посієш впору збереш зерна гору.,Гаї шумлять я слухаю хмарки біжать милуюся.,Повіяв вітер по долині пішла дібровою луна.,Знаю одне мені вистачить сил подолать перешкоди.,e
22,"
Складнопідрядне речення з підрядним умови утвориться, якщо до частини ""У неділю ми обов'яково поїдемо до Києва..."" додати
",незважаючи на люті морози.,якщо купимо квитки на потяг.,бо вже скучили за рідним містом.,так що неодмінно відвідаємо Лавру.,щоб краще дізнатися історію столиці.,b
23,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Синє яблуко для Ілонки
(1, 2) Сидить Ілонка біля хати така сумна, аж хустка на голові займається. Перед нею стерні та стерні. Є і ліс, на який уже дихнула осінь.
(3-6) Оце тільки повернулася з лікарні. Ішла селом, а люди, хто стрічався, казали: що з тобою, як поїхала, так половини й не стало. Та, одмахувалася Ілонка, їсти душа не прийма, а хіба тіло дурне, щоб саме по собі наростало. То так, А тільки ж чому барилась?
(7, 8) Димко (Дмитро її) вже й картоплю викубляв і пізні сливи познімав, хоч на роботі з темна до темна.
(9-11) Їй і не віриться – вдома. Он коза на обніжку спить. Справнюща та біла. Он дика грушка всолодала і розміліла. А півники давно в колодочках, кукурікають і б’ються, аж пір’я летить.
(12-21) Через її задуму проторохтів віз. Це Сергій з діжкою води брати. Жвавий і моцніший за коня.
- Здастуйте, тітко! Прибули?
- Атож. Воду на город повезеш?
- Ну.
- Хай Параска з Ольгою до мене ввечері зайдуть.
- Скажу, та чи зайдуть. Там огірків, як гороху, набралося. До ночі будуть.
- Аби морозу не кинуло.
- А по радіо передавали два градуси.
- От-то.
(22, 23) За Сергієм прокурявилося, і знову лагідна тиша. Дерева, як цівки, бабине літо розпускають.
(24-30) А признайся, Ілонко, боїшся? Як привезли тебе в лікарню, а тоді в другу переклали. Слідом попід руки жінку завели, а вона звивалась і кричала: «Убийте, вдавіть мене, не хочу! Що вирячились? У нас тут у кожній смерть сидить!» - «Заспокойся, - сказала ти, - не поможеться. А може, ще й мине» - «Стара карга, - вискнула жінка, - тобі все одно здихати, а в мене одне в пелюшках, а друге тільки ходити навчилось!» - «Жити всім хочеться, дитино», - одказала ти. А потім одвернулась до вікна, а там сонце слабке, мов крапля олії, висіло.
(31-34) Не прикидайся, боїшся. Бо все життя чогось чекала. Поки Дмитро вивчиться, поки сини підростуть, поки хату поставите. Тепер сини на Камчатці. Сказала Дмитрові не писати, що з нею, може, й не страшне. Аби дітей зривати. Лесю, внучку, як згадає, так сльози і вдавлять. Ти ж моя маленька бабуська, казало.
(35-38) Позаторік будуватися кінчили. Кухня, зала, спальня і ще одна спальня – про гостей. Туди килим повісили, як за корову грошей уторгували, і двоє ліжок, мов пароплави, поставили. Коли немає довго листів, то підеш туди, посидиш, перини переб’єш.
(39-43) Любиш ти нову хату, хоч довго звикнути не могла. Уже кругом цегляні стіни звели, уже й дах, наче капелюх, звісився, а ти майстрам вариш, а собі сліз не збереш. Тепер хто не зайде – й похвалить. Чисто, прибрано, доріжок понатикала, рушники дівоцькі почепила. Аж цвіте скрізь. Дмитро завжди з чобітьми носиться - наче й поставить ніде.
(44-50) Аж ось він. Скочив із мотоцикла, біжить, картузом утирається.
- Лоню! – гукнув ще здалеку. А ближче застидався. – Як добралася?
- Автобусом прямо ізвідти сюди.
- А в хаті була? Я тут то наче й не насмічував. Там у газовій плиті юшка заварена. Може, води од Гаманів принести?
- Чого ти? Я й сама принесу. А обідав?
- На таборі.
(51-56) Замовкли. Ілонка дивилась на його вироблений піджак, на роз’їжджені черевики, на комір, виношений у мотузку, і щасливо думала, скільки в неї попереду роботи.
- Там винограду кичок десять нав’язалося. Зріж, як хочеш.
- А синіх яблук уже й немає. Мабуть, дощі пострушували та вітер позбивав.
- Не може бути! – аж скрикнув. – Ану ходім!
(57) Вона встала – Димко аж одхитнувся. Пів-Ілонки.
(58) У траві гнилички мухи доїдали, а на яблуні порожньо.
(59-63) «Як я жив з тобою? Чи хоч після весілля водив тебе в сад або на річку? Чи жалів тебе, як тягали колоди, носили відрами цементі накладали глиною стелю? Чи питав, що болить у тебе, коли вночі, щоб мене не розбудити, виходила з хати і до ранку блукала на подвір’ї?»
- Не може бути, - ще раз видихнув Димко.
(64-68) Він скинувся на стовбур, ковзав черевиком по гілках, чіплявся за суччя, обламувався, нарешті дістався до верхівки. Ех-х-х! Щосили труснув, і поодиноке листя, злітаючи, осміхнулось до неї.
- Я й хотів назбирати, та хіба за роботою вправишся, - обтрушуючи, звинявся перед нею. – Іще ті дітлахи. Ось мотнуся в колгоспний сад, там точно зосталися.
(69-72) Уже хотів до мотоцикла, але повернувся, вивернув кишеню, чорну, мов кузня, і подав їй три горішки.
- Ось на, вже поналивались.
- Нащо ти? – спаленіла.
(73-81) Схитнув плечима і знов одступив. Пом’явся, а тоді спитав:
- А як там… У Чернігові… що сказали?
- Нічого, - обізвалась тихо, - того нема.
- А тримали довго.
- Вигрівали. Усе якимись лампами.
- Так справді? Справді нема?
- Кажу ж.
- Слухай! Ну й заживемо ми з тобою, жінко! – Він гупнув картузом об землю, ляснув себе в коліна, а тоді по підборах. – Село загуде!
(82, 83) Жартома, як у молодості, зісмикнув на плечі їй хустку, підстрибом кинувся до хвіртки.
(84-86) Нараз їй стало млосно. Поточилася, обіперлася об стовпець. Треба ж отак зледащіти! А мотоцикл уже деренчав. У колесі бадилинка застряла і летіла невідомо куди…

(За Л. Пономаренко, 800 слів)

Змістові тексту НЕ ВІДПОВІДАЄ твердження
","Дія, зображена в новелі, відбувається восени.",Дмитро з Ілонкою мають нову дерев'яну хату.,Ілончині сини живуть далеко за межами України.,"Ілонка дуже схудла, перебуваючи в лікарнях.",,b
24,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Синє яблуко для Ілонки
(1, 2) Сидить Ілонка біля хати така сумна, аж хустка на голові займається. Перед нею стерні та стерні. Є і ліс, на який уже дихнула осінь.
(3-6) Оце тільки повернулася з лікарні. Ішла селом, а люди, хто стрічався, казали: що з тобою, як поїхала, так половини й не стало. Та, одмахувалася Ілонка, їсти душа не прийма, а хіба тіло дурне, щоб саме по собі наростало. То так, А тільки ж чому барилась?
(7, 8) Димко (Дмитро її) вже й картоплю викубляв і пізні сливи познімав, хоч на роботі з темна до темна.
(9-11) Їй і не віриться – вдома. Он коза на обніжку спить. Справнюща та біла. Он дика грушка всолодала і розміліла. А півники давно в колодочках, кукурікають і б’ються, аж пір’я летить.
(12-21) Через її задуму проторохтів віз. Це Сергій з діжкою води брати. Жвавий і моцніший за коня.
- Здастуйте, тітко! Прибули?
- Атож. Воду на город повезеш?
- Ну.
- Хай Параска з Ольгою до мене ввечері зайдуть.
- Скажу, та чи зайдуть. Там огірків, як гороху, набралося. До ночі будуть.
- Аби морозу не кинуло.
- А по радіо передавали два градуси.
- От-то.
(22, 23) За Сергієм прокурявилося, і знову лагідна тиша. Дерева, як цівки, бабине літо розпускають.
(24-30) А признайся, Ілонко, боїшся? Як привезли тебе в лікарню, а тоді в другу переклали. Слідом попід руки жінку завели, а вона звивалась і кричала: «Убийте, вдавіть мене, не хочу! Що вирячились? У нас тут у кожній смерть сидить!» - «Заспокойся, - сказала ти, - не поможеться. А може, ще й мине» - «Стара карга, - вискнула жінка, - тобі все одно здихати, а в мене одне в пелюшках, а друге тільки ходити навчилось!» - «Жити всім хочеться, дитино», - одказала ти. А потім одвернулась до вікна, а там сонце слабке, мов крапля олії, висіло.
(31-34) Не прикидайся, боїшся. Бо все життя чогось чекала. Поки Дмитро вивчиться, поки сини підростуть, поки хату поставите. Тепер сини на Камчатці. Сказала Дмитрові не писати, що з нею, може, й не страшне. Аби дітей зривати. Лесю, внучку, як згадає, так сльози і вдавлять. Ти ж моя маленька бабуська, казало.
(35-38) Позаторік будуватися кінчили. Кухня, зала, спальня і ще одна спальня – про гостей. Туди килим повісили, як за корову грошей уторгували, і двоє ліжок, мов пароплави, поставили. Коли немає довго листів, то підеш туди, посидиш, перини переб’єш.
(39-43) Любиш ти нову хату, хоч довго звикнути не могла. Уже кругом цегляні стіни звели, уже й дах, наче капелюх, звісився, а ти майстрам вариш, а собі сліз не збереш. Тепер хто не зайде – й похвалить. Чисто, прибрано, доріжок понатикала, рушники дівоцькі почепила. Аж цвіте скрізь. Дмитро завжди з чобітьми носиться - наче й поставить ніде.
(44-50) Аж ось він. Скочив із мотоцикла, біжить, картузом утирається.
- Лоню! – гукнув ще здалеку. А ближче застидався. – Як добралася?
- Автобусом прямо ізвідти сюди.
- А в хаті була? Я тут то наче й не насмічував. Там у газовій плиті юшка заварена. Може, води од Гаманів принести?
- Чого ти? Я й сама принесу. А обідав?
- На таборі.
(51-56) Замовкли. Ілонка дивилась на його вироблений піджак, на роз’їжджені черевики, на комір, виношений у мотузку, і щасливо думала, скільки в неї попереду роботи.
- Там винограду кичок десять нав’язалося. Зріж, як хочеш.
- А синіх яблук уже й немає. Мабуть, дощі пострушували та вітер позбивав.
- Не може бути! – аж скрикнув. – Ану ходім!
(57) Вона встала – Димко аж одхитнувся. Пів-Ілонки.
(58) У траві гнилички мухи доїдали, а на яблуні порожньо.
(59-63) «Як я жив з тобою? Чи хоч після весілля водив тебе в сад або на річку? Чи жалів тебе, як тягали колоди, носили відрами цементі накладали глиною стелю? Чи питав, що болить у тебе, коли вночі, щоб мене не розбудити, виходила з хати і до ранку блукала на подвір’ї?»
- Не може бути, - ще раз видихнув Димко.
(64-68) Він скинувся на стовбур, ковзав черевиком по гілках, чіплявся за суччя, обламувався, нарешті дістався до верхівки. Ех-х-х! Щосили труснув, і поодиноке листя, злітаючи, осміхнулось до неї.
- Я й хотів назбирати, та хіба за роботою вправишся, - обтрушуючи, звинявся перед нею. – Іще ті дітлахи. Ось мотнуся в колгоспний сад, там точно зосталися.
(69-72) Уже хотів до мотоцикла, але повернувся, вивернув кишеню, чорну, мов кузня, і подав їй три горішки.
- Ось на, вже поналивались.
- Нащо ти? – спаленіла.
(73-81) Схитнув плечима і знов одступив. Пом’явся, а тоді спитав:
- А як там… У Чернігові… що сказали?
- Нічого, - обізвалась тихо, - того нема.
- А тримали довго.
- Вигрівали. Усе якимись лампами.
- Так справді? Справді нема?
- Кажу ж.
- Слухай! Ну й заживемо ми з тобою, жінко! – Він гупнув картузом об землю, ляснув себе в коліна, а тоді по підборах. – Село загуде!
(82, 83) Жартома, як у молодості, зісмикнув на плечі їй хустку, підстрибом кинувся до хвіртки.
(84-86) Нараз їй стало млосно. Поточилася, обіперлася об стовпець. Треба ж отак зледащіти! А мотоцикл уже деренчав. У колесі бадилинка застряла і летіла невідомо куди…

(За Л. Пономаренко, 800 слів)

Буяння життя навколо Ілонки авторка показує через усі образи, ОКРІМ образу
",грушки (рядок 10),огірків (рядок 18),"дерев (рядки 22, 23)","сонця (рядки 29, 30)",,d
25,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Синє яблуко для Ілонки
(1, 2) Сидить Ілонка біля хати така сумна, аж хустка на голові займається. Перед нею стерні та стерні. Є і ліс, на який уже дихнула осінь.
(3-6) Оце тільки повернулася з лікарні. Ішла селом, а люди, хто стрічався, казали: що з тобою, як поїхала, так половини й не стало. Та, одмахувалася Ілонка, їсти душа не прийма, а хіба тіло дурне, щоб саме по собі наростало. То так, А тільки ж чому барилась?
(7, 8) Димко (Дмитро її) вже й картоплю викубляв і пізні сливи познімав, хоч на роботі з темна до темна.
(9-11) Їй і не віриться – вдома. Он коза на обніжку спить. Справнюща та біла. Он дика грушка всолодала і розміліла. А півники давно в колодочках, кукурікають і б’ються, аж пір’я летить.
(12-21) Через її задуму проторохтів віз. Це Сергій з діжкою води брати. Жвавий і моцніший за коня.
- Здастуйте, тітко! Прибули?
- Атож. Воду на город повезеш?
- Ну.
- Хай Параска з Ольгою до мене ввечері зайдуть.
- Скажу, та чи зайдуть. Там огірків, як гороху, набралося. До ночі будуть.
- Аби морозу не кинуло.
- А по радіо передавали два градуси.
- От-то.
(22, 23) За Сергієм прокурявилося, і знову лагідна тиша. Дерева, як цівки, бабине літо розпускають.
(24-30) А признайся, Ілонко, боїшся? Як привезли тебе в лікарню, а тоді в другу переклали. Слідом попід руки жінку завели, а вона звивалась і кричала: «Убийте, вдавіть мене, не хочу! Що вирячились? У нас тут у кожній смерть сидить!» - «Заспокойся, - сказала ти, - не поможеться. А може, ще й мине» - «Стара карга, - вискнула жінка, - тобі все одно здихати, а в мене одне в пелюшках, а друге тільки ходити навчилось!» - «Жити всім хочеться, дитино», - одказала ти. А потім одвернулась до вікна, а там сонце слабке, мов крапля олії, висіло.
(31-34) Не прикидайся, боїшся. Бо все життя чогось чекала. Поки Дмитро вивчиться, поки сини підростуть, поки хату поставите. Тепер сини на Камчатці. Сказала Дмитрові не писати, що з нею, може, й не страшне. Аби дітей зривати. Лесю, внучку, як згадає, так сльози і вдавлять. Ти ж моя маленька бабуська, казало.
(35-38) Позаторік будуватися кінчили. Кухня, зала, спальня і ще одна спальня – про гостей. Туди килим повісили, як за корову грошей уторгували, і двоє ліжок, мов пароплави, поставили. Коли немає довго листів, то підеш туди, посидиш, перини переб’єш.
(39-43) Любиш ти нову хату, хоч довго звикнути не могла. Уже кругом цегляні стіни звели, уже й дах, наче капелюх, звісився, а ти майстрам вариш, а собі сліз не збереш. Тепер хто не зайде – й похвалить. Чисто, прибрано, доріжок понатикала, рушники дівоцькі почепила. Аж цвіте скрізь. Дмитро завжди з чобітьми носиться - наче й поставить ніде.
(44-50) Аж ось він. Скочив із мотоцикла, біжить, картузом утирається.
- Лоню! – гукнув ще здалеку. А ближче застидався. – Як добралася?
- Автобусом прямо ізвідти сюди.
- А в хаті була? Я тут то наче й не насмічував. Там у газовій плиті юшка заварена. Може, води од Гаманів принести?
- Чого ти? Я й сама принесу. А обідав?
- На таборі.
(51-56) Замовкли. Ілонка дивилась на його вироблений піджак, на роз’їжджені черевики, на комір, виношений у мотузку, і щасливо думала, скільки в неї попереду роботи.
- Там винограду кичок десять нав’язалося. Зріж, як хочеш.
- А синіх яблук уже й немає. Мабуть, дощі пострушували та вітер позбивав.
- Не може бути! – аж скрикнув. – Ану ходім!
(57) Вона встала – Димко аж одхитнувся. Пів-Ілонки.
(58) У траві гнилички мухи доїдали, а на яблуні порожньо.
(59-63) «Як я жив з тобою? Чи хоч після весілля водив тебе в сад або на річку? Чи жалів тебе, як тягали колоди, носили відрами цементі накладали глиною стелю? Чи питав, що болить у тебе, коли вночі, щоб мене не розбудити, виходила з хати і до ранку блукала на подвір’ї?»
- Не може бути, - ще раз видихнув Димко.
(64-68) Він скинувся на стовбур, ковзав черевиком по гілках, чіплявся за суччя, обламувався, нарешті дістався до верхівки. Ех-х-х! Щосили труснув, і поодиноке листя, злітаючи, осміхнулось до неї.
- Я й хотів назбирати, та хіба за роботою вправишся, - обтрушуючи, звинявся перед нею. – Іще ті дітлахи. Ось мотнуся в колгоспний сад, там точно зосталися.
(69-72) Уже хотів до мотоцикла, але повернувся, вивернув кишеню, чорну, мов кузня, і подав їй три горішки.
- Ось на, вже поналивались.
- Нащо ти? – спаленіла.
(73-81) Схитнув плечима і знов одступив. Пом’явся, а тоді спитав:
- А як там… У Чернігові… що сказали?
- Нічого, - обізвалась тихо, - того нема.
- А тримали довго.
- Вигрівали. Усе якимись лампами.
- Так справді? Справді нема?
- Кажу ж.
- Слухай! Ну й заживемо ми з тобою, жінко! – Він гупнув картузом об землю, ляснув себе в коліна, а тоді по підборах. – Село загуде!
(82, 83) Жартома, як у молодості, зісмикнув на плечі їй хустку, підстрибом кинувся до хвіртки.
(84-86) Нараз їй стало млосно. Поточилася, обіперлася об стовпець. Треба ж отак зледащіти! А мотоцикл уже деренчав. У колесі бадилинка застряла і летіла невідомо куди…

(За Л. Пономаренко, 800 слів)

Діалоги тієї самої пари персонажів наведено в усіх рядках тексту, ОКРІМ
",14-21,45-50,54-56,74-81,,a
